Anime ID,Romaji Title,English Title,Description,Episodes,Start Date,End Date,Duration,Popularity,Source,Season,Year,Favorites,Average Score,isAdult,Genres
20,NARUTO,Naruto,"Naruto Uzumaki, a hyperactive and knuckle-headed ninja, lives in Konohagakure, the Hidden Leaf village. Moments prior to his birth, a huge demon known as the Kyuubi, the Nine-tailed Fox, attacked Konohagakure and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the 4th Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. <br><br>
Shunned because of the presence of the Kyuubi inside him, Naruto struggles to find his place in the village. He strives to become the Hokage of Konohagakure, and he meets many friends and foes along the way. <br><br>
(Source: MAL Rewrite)",220,"{'year': 2002, 'month': 10, 'day': 3}","{'year': 2007, 'month': 2, 'day': 8}",23,488601,MANGA,FALL,2002,25512,79,False,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural"
21,ONE PIECE,ONE PIECE,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.<br><br>
Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.<br><br>
<b>*This includes following special episodes:</b><br>
- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)<br>
- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)<br>
- Team Formation! Save Chopper (Episode 542)<br>
- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)<br>
- 20th Anniversary! Special Romance Dawn (Episode 907)",,"{'year': 1999, 'month': 10, 'day': 20}","{'year': None, 'month': None, 'day': None}",24,452800,MANGA,FALL,1999,65303,87,False,"Action, Adventure, Comedy, Drama, Fantasy"
22,Tennis no Ouji-sama,The Prince of Tennis,"Echizen Ryoma is a young tennis prodigy who has won 4 consecutive tennis championships but who constantly lies in the shadow of his father, a former pro tennis player. He joins the Seishun Gakuen junior highschool, one of the best tennis schools in Japan, and there along with his teamates he learns to find his own type of tennis in an attempt to defeat his biggest obstacle of all: his father as well as himself.
<br><br>
(Source: Anime News Network)",178,"{'year': 2001, 'month': 10, 'day': 10}","{'year': 2005, 'month': 3, 'day': 23}",22,26085,MANGA,FALL,2001,548,74,False,"Action, Comedy, Sports"
23,Ring ni Kakero 1,,"In order to fulfill their dead father's wish, the siblings, Kiku Takane and Ryuuji Takane aim for the champion title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuuji, will concentrate on the role of the boxer and learn the Boomerang Hook technique. His battle with many rivals has led to the growth and maturity of Ryuuji. The junior high boxing tournament has began and Ryuuji will be fighting his arch-rival, Jun Kenzaki. The battle begins.
<br><br>
(Source: Anime News Network)",12,"{'year': 2004, 'month': 10, 'day': 6}","{'year': 2004, 'month': 12, 'day': 15}",25,1086,MANGA,FALL,2004,8,54,False,"Action, Sports"
24,School Rumble,School Rumble,"Tsukamoto Tenma is an ordinary 2nd year high school student who has fallen in love with one of her classmates, Karasuma Ooji. However, currently she is unable to confess her feelings to him. To make things worse, she found out that Karasuma is transferring to another school in a year. On the other hand, Tenma's other classmate, Harima Kenji (who is a delinquent) is also in love with Tenma. Not being able to confess his feelings, Harima gets depressed day by day.<br><br>
(Source: Anime News Network)",26,"{'year': 2004, 'month': 10, 'day': 5}","{'year': 2005, 'month': 3, 'day': 29}",23,44017,MANGA,FALL,2004,833,76,False,"Comedy, Romance, Slice of Life"
25,Sunabouzu,Desert Punk,"The Great Kanto Desert is a miserable place. It’s also the home of hero-for-hire Desert Punk, the closest thing to a good guy the wasteland’s got. He’s known as the best man for any job, but his reputation is undone by his raging hormones when curvy Junko uses her double-D charms to double-cross him. With debt hanging over his head, Desert Punk sets out to salvage his name. <br><br>
(Source: Crunchyroll)",24,"{'year': 2004, 'month': 10, 'day': 6}","{'year': 2005, 'month': 3, 'day': 30}",24,20127,MANGA,FALL,2004,226,68,False,"Action, Adventure, Comedy, Ecchi, Sci-Fi"
26,TEXHNOLYZE,Texhnolyze,"In a man-made underground society, descendants of a banished generation vie for control of the crumbling city of Lux. Ichise, an orphan turned prize fighter, loses a leg and an arm to satisfy an enraged fight promoter. On the brink of death he is taken in by a young woman doctor and used as a guinea pig for the next evolution of Texhnolyze. With his new limbs, Ichise is taken under the wing of Oonishi, a powerful leader of Organ, an organization with some hold on Lux. As Ichise is drawn deeper into a war for territorial control of the city, he learns of his possible future from the young girl prophet Ran, who guides him from the shadows in his darkest times. With the explosion of the warfare, Ichise must uncover the truth about Lux and fight for his survival as he realizes his destiny.
<br><br>
(Source: Anime News Network)",22,"{'year': 2003, 'month': 4, 'day': 17}","{'year': 2003, 'month': 9, 'day': 25}",23,54201,ORIGINAL,SPRING,2003,1961,76,False,"Action, Drama, Psychological, Sci-Fi"
27,Trinity Blood,Trinity Blood,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist,  Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them.",24,"{'year': 2005, 'month': 4, 'day': 29}","{'year': 2005, 'month': 10, 'day': 28}",24,19077,LIGHT_NOVEL,SPRING,2005,193,67,False,"Action, Drama, Horror, Sci-Fi, Supernatural"
28,Yakitate!! Japan,,"Kazuma Azuma wants to make bread. Not just any kind of bread, though. He wants to make a bread that represents Japan itself and can stand toe-to-toe with rice as a national food. Thanks to his legendary ""Hands of the Sun,"" unnaturally warm hands that allow dough to ferment faster, Kazuma's bread is like a slice of Heaven.<br>
<br>
And when the Pantasia Rookie Competition arrives, everyone will get a taste of his skill! Along with his friend Kawachi (who's only in it for the dough), he’ll go up against koala karate masters, Harvard bread scientists, samurai with rolling-pin swords, and more! Can Kazuma create bread like naan other and bake his way to glory, or should he quit before he's toast?<br>
<br>
(Source: Right Stuf)",69,"{'year': 2004, 'month': 10, 'day': 12}","{'year': 2006, 'month': 3, 'day': 14}",24,14692,MANGA,FALL,2004,237,75,False,Comedy
29,Zipang,,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942&mdash;The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain annonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.
<br><br>
(Source: Anime News Network)",26,"{'year': 2004, 'month': 10, 'day': 7}","{'year': 2005, 'month': 3, 'day': 31}",24,4447,MANGA,FALL,2004,36,71,False,"Action, Sci-Fi"
30,Shin Seiki Evangelion,Neon Genesis Evangelion,"In the year 2015, the Angels, huge, tremendously powerful, alien war machines, appear in Tokyo for the second time. The only hope for Mankind's survival lies in the Evangelion, a humanoid fighting machine developed by NERV, a special United Nations agency. Capable of withstanding anything the Angels can dish out, the Evangelion's one drawback lies in the limited number of people able to pilot them. Only a handful of teenagers, all born fourteen years ago, nine months after the Angels first appeared, are able to interface with the Evangelion. One such teenager is Shinji Ikari, whose father heads the NERV team that developed and maintains the Evangelion. Thrust into a maelstrom of battle and events that he does not understand, Shinji is forced to plumb the depths of his own inner resources for the courage and strength to not only fight, but to survive, or risk losing everything. <br><br>
(Source: AniDB)<br>
<br>
 <i>Note: Later releases include edited versions of Episodes 21-24 called the ""Director's Cut"" with some visual editing and adding extra scenes that appeared in the theatrical recap 'Death'.</i>",26,"{'year': 1995, 'month': 10, 'day': 3}","{'year': 1996, 'month': 3, 'day': 27}",24,319137,ORIGINAL,FALL,1995,26754,83,False,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi"
31,Shin Seiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,"Compilation recap movie for the series <i>Shin Seiki Evangelion.</i> Due to the struggling production of the movie 'End of Evangelion' delaying the film a month before it was set to release, this film was announced to 'hold fans over'.<br><br>

During the early 21st century a meteorite crashed into Antarctica. After scientists went to study the crash a gigantic explosion followed, classified as the 'Second Impact'. Shinji Ikari is a fourteen year-old boy who has come to Toyko3, a city that also serves as a fortress, to meet up with his father who left him many years ago. The city also happens to be under siege by monstrous creatures called 'Angels' at the time of his arrival. Somehow Shinji finds himself in Evangelion Unit 01, and manages to synchronize with the giant robot. Shinji is told to become its permanent pilot, and is thrown into combat as the city's last defense for fighting off the angels. However, as Shinji fights, he begins to realize the truth behind the Angels, the Second Impact, man's struggle against God and what he truly is afraid of. <br><br>
(Source: Anime News Network)<br><br>

<i>Note: Exists in several versions: (with most appearing on the Japanese 2015 Blu-ray Boxset)<br>
• <b>Evangelion: DEATH & REBIRTH</b>, released theatrically on March 15, 1997 - 2-part feature, the first 2/3rds titled 'Death' consisting of a recap of the TV series with new/re-drawn animation added in, and the later 1/3rd titled 'Rebirth' consisting of the first 28 minute rough cut of End of Evangelion.<br>
• <b>Death(True)</b>, aired on TV channel WOWOW on January 2, 1998 - re-edited version of 'Death' by director Masayuki, with most of the new animation cut (as it was moved to the ""Directors Cut"" of Episodes 21-24), but with some new shots added. Later released on the 'ARCHIVES OF EVANGELION' DVD Boxset.<br>
• <b>Death(True)²</b>, released on March 7, 1998 - a further edited down version of Death(True), but with some new animation added. Regarded as this film's 'definitive' release, this is the version opted to be licensed by Netflix.<br>
• <b>Revival of Evangelion</b>, released theatrically on March 8, 1998 - Theatrical double feature consisting of Death(True)² + 4 minute intermission + End of Evangelion.<br><br>
For simplicity's sake, we are only counting the first theatrical release in this entry.</i>",1,"{'year': 1997, 'month': 3, 'day': 15}","{'year': 1997, 'month': 3, 'day': 15}",104,44025,ORIGINAL,WINTER,1997,419,72,False,"Drama, Mecha, Psychological, Sci-Fi"
32,"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,"NERV faces a brutal attack from SEELE, but with Asuka in a coma, and Shinji in a nervous breakdown, things soon turn into the surreal. This movie provides a concurrent ending to the final two episodes of the show <b>Neon Genesis Evangelion</b>.<br>
<br>
(Source: IMDb)",1,"{'year': 1997, 'month': 7, 'day': 19}","{'year': 1997, 'month': 7, 'day': 19}",87,165196,ORIGINAL,SUMMER,1997,12448,85,False,"Action, Drama, Mecha, Psychological, Sci-Fi"
33,Kenpuu Denki Berserk,Berserk,"Set during a time that very much resembles Europe during the Middle Ages, <i>Berserk</i> is a story of revenge set in the castle town of Midland. Recently, the town has seen the rise of a wicked king, who uses demonic minions to control and victimise his subjects.<br>
<br>
However, when a lone soldier enters the town calling himself the Black Swordsman and armed to the teeth, many sense that the king's days of unchecked oppression are over. Soon, the Black Swordsman is plying his trade by hunting down the king's evil servants, giving no quarter, and preparing to exact his vengeance on the king.<br>
<br>
(Source: MVM Entertainment)",25,"{'year': 1997, 'month': 10, 'day': 7}","{'year': 1998, 'month': 3, 'day': 31}",25,102994,MANGA,FALL,1997,6288,83,False,"Action, Adventure, Drama, Fantasy, Horror, Supernatural"
43,GHOST IN THE SHELL: Koukaku Kidoutai,Ghost in the Shell,"2029: A female cybernetic government agent, Major Motoko Kusanagi, and the Internal Bureau of Investigations are hot on the trail of “The Puppet Master,” a mysterious and threatening computer virus capable of infiltrating human hosts. Together with her fellow agents from Section 9, Kusanagi embarks on a high-tech race against time to capture the omnipresent entity.<br>
<br>
(Source: Lionsgate Films)",1,"{'year': 1995, 'month': 11, 'day': 18}","{'year': 1995, 'month': 11, 'day': 18}",83,110713,MANGA,FALL,1995,4241,80,False,"Action, Psychological, Sci-Fi"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,"In the days before the Japanese Revolution, Hiko Seiijuro, a wandering master swordsman and hermit, encounters a bandit raid on a slave wagon. Hiko kills the raiding bandits in hopes of saving as many lives as possible, but only manages to spare one life from the massacre. Hiko leaves the child, advising him to go to the nearby village and have them take care of him. A few days later, as Hiko comes back to check upon the child he saved, he is shocked to see the child had created graves, both for the slaves he befriended and the bandits who killed them. Seeing potential in the young one, Hiko takes the child under his wing, names him Kenshin, meaning ""heart of sword,"" and teaches him about the art of swordsmanship under the Hiten Mitsuruugi Ryu.<br><br>
Struggling in a constant challenge with his ideal beliefs reflecting against the harshness of reality, Tsuiokuhen tells the melancholic and dark story of Himura Kenshin as one of the most feared assassins of the Japanese Revolution: the Hitokiri Battousai.<br><br>
[Written by MAL Rewrite]",4,"{'year': 1999, 'month': 2, 'day': 20}","{'year': 1999, 'month': 9, 'day': 22}",30,35464,MANGA,WINTER,1999,1621,84,False,"Action, Drama, Romance"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,"Himura Kenshin is a vagabond with a dark past and sunny disposition. Not a ronin but a rurouni, he was never a samurai, but an assassin of utmost skill in the Meiji restoration, who in the turning point of the war simply walked away. His travels lead him to Tokyo in the 11th year of the Meiji era, where he befriends a female Kendo master, a former thief, a brawler and a doctor all with their own secrets. Together they fight off the enemies surfacing from the dark past that Kenshin cannot escape. <br><br>
(Source: Anime News Network)",94,"{'year': 1996, 'month': 1, 'day': 10}","{'year': 1998, 'month': 9, 'day': 8}",25,65857,MANGA,WINTER,1996,1899,79,False,"Action, Adventure, Comedy, Drama, Romance"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem,Samurai X: The Motion Picture,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta.
<br><br>
(Source: Anime News Network)",1,"{'year': 1997, 'month': 12, 'day': 20}","{'year': 1997, 'month': 12, 'day': 20}",91,6585,MANGA,FALL,1997,43,70,False,"Action, Drama"
47,AKIRA,Akira,"It's the year 2019, thirty-one years have passed since the start of World War III. A top-secret child with amazing powers of the mind breaks free from custody and accidentally gets a motorcycle gang involved in the project. This incident triggers psychic powers within one of the gang members, Tetsuo, and he is taken by the army to be experimented on. His mind has been altered and is now on the path of war, seeking revenge on the society that once called him weak. <br><br>
(Source: FUNimation) ",1,"{'year': 1988, 'month': 7, 'day': 16}","{'year': 1988, 'month': 7, 'day': 16}",125,151911,MANGA,SUMMER,1988,5670,79,False,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural"
48,.hack//SIGN,.hack//Sign,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, he is suspected to be a hacker of the Crimson Knights, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.<br><br>
As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a 'guardian', which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.<br><br>
[Written by MAL Rewrite]",26,"{'year': 2002, 'month': 4, 'day': 4}","{'year': 2002, 'month': 9, 'day': 26}",24,24837,ORIGINAL,SPRING,2002,340,65,False,"Adventure, Fantasy, Mystery, Sci-Fi"
49,Aa! Megami-sama!,Oh! My Goddess,"When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in. ",5,"{'year': 1993, 'month': 2, 'day': 21}","{'year': 1994, 'month': 5, 'day': 17}",30,7905,MANGA,WINTER,1993,81,68,False,"Comedy, Drama, Romance, Supernatural"
50,Aa! Megami-sama! (TV),Oh! My Goddess (TV),"Keiichi Morisato is looking forward to university life. But in reality, he has no luck in anything, and he has trouble with clubs, love, etc. The truth is that he has an unlucky star above his head. One day, Keiichi is stuck watching the dorm while his sempai are away, and has a mountain of chores to do to boot. But Keiichi is a good-natured person, and is set about doing his duties. As he is about to finish his final chore, he makes a phone call to his sempai. But the words that came through the receiver are, 'Goddess Help Line.' Shortly afterwards, a beautiful goddess named Belldandy appears in front of him from the mirror of his room. ",24,"{'year': 2005, 'month': 1, 'day': 7}","{'year': 2005, 'month': 7, 'day': 8}",24,18300,MANGA,WINTER,2005,192,69,False,"Comedy, Romance, Supernatural"
51,Tenshi Kinryouku,Angel Sanctuary,"Mudou Setsuna, a high school student, loves his sister in a way that he shouldn't. He also struggles from supernatural powers. Angels and demons flocks to him as the day of his awakening draws near &mdash;he is the angel Alexiel, the highest angel which fought against God, reborn. ",3,"{'year': 2000, 'month': 5, 'day': 25}","{'year': 2000, 'month': 8, 'day': 25}",30,5072,MANGA,SPRING,2000,30,54,False,"Action, Drama, Ecchi, Romance, Supernatural"
52,Kidou Tenshi Angelic Layer,Angelic Layer,"From the moment twelve-year-old Misaki Suzuhara first arrives in Tokyo to live with her aunt, she finds herself swept away by the amazing world of Angelic Layer – a fast-paced high-tech game where dolls called “Angels” are controlled by the thoughts of their operator, or “Deus”. Discovering that her new friends are as interested in Angelic Layer as she is, Misaki builds her own Angel, Hikaru, and begins competing in battles where will and determination count far more than size and strength. The competitions are going to be fierce and, with the national championships looming on the horizon, you can bet that not everyone Misaki meets will be on her side. Can Misaki handle the pressure of non-stop competition while struggling to adapt to life in an unfamiliar city?<br>
<br>
(Source: Sentai Filmworks)",26,"{'year': 2001, 'month': 4, 'day': 1}","{'year': 2001, 'month': 9, 'day': 23}",24,7870,MANGA,SPRING,2001,91,68,False,"Comedy, Drama, Sci-Fi, Sports"
53,Ai Yori Aoshi,Ai Yori Aoshi,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",24,"{'year': 2002, 'month': 4, 'day': 11}","{'year': 2002, 'month': 9, 'day': 26}",23,13003,MANGA,SPRING,2002,93,66,False,"Comedy, Drama, Romance, Slice of Life"
54,Appleseed (Movie),,"Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. <br><br>
(Source: Anime News Network)",1,"{'year': 2004, 'month': 4, 'day': 17}","{'year': 2004, 'month': 4, 'day': 17}",105,8004,MANGA,SPRING,2004,54,65,False,"Action, Drama, Mecha, Sci-Fi"
55,Arc the Lad,,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies.
<br><br>
(Source: Anime News Network)",26,"{'year': 1999, 'month': 4, 'day': 5}","{'year': 1999, 'month': 9, 'day': 11}",22,2079,VIDEO_GAME,SPRING,1999,16,59,False,"Action, Adventure, Fantasy, Horror, Sci-Fi"
